vehID,depart,from,to,arrival,arrival_speed,type
r_sus_axs_A______0_car_aggr4.0,933.05,lane_entry_E,lane_exit_C,1088.81,25.58,car_aggr4
r_sus_luz_A______0_small_truck.0,1955.3,lane_entry_E,lane_exit_C,2132.72,23.35,small_truck
r_sus_axs_A______1_car_aggr3.0,4189.85,lane_entry_E,lane_exit_C,4367.96,24.58,car_aggr3
r_sus_luz_A______1_car_aggr3.0,4932.93,lane_entry_E,lane_exit_C,5108.22,26.27,car_aggr3
r_sus_axs_A______1_car_aggr4.0,6405.19,lane_entry_E,lane_exit_C,6551.47,26.1,car_aggr4
r_sus_luz_A______1_car_aggr3.1,6652.77,lane_entry_E,lane_exit_C,6807.85,24.22,car_aggr3
r_sus_kla_A______2_car_aggr5.0,8443.2,lane_entry_E,lane_exit_C,8599.41,26.5,car_aggr5
r_sus_kla_A______2_car_aggr1.0,8826.49,lane_entry_E,lane_exit_C,9008.84,20.44,car_aggr1
r_sus_axs_A______2_car_aggr3.0,9775.81,lane_entry_E,lane_exit_C,9944.13,26.26,car_aggr3
r_sus_axs_A______3_motorbike.0,12596.32,lane_entry_E,lane_exit_C,12768.95,29.32,motorbike
r_sus_axs_A______4_motorbike.0,14922.18,lane_entry_E,lane_exit_C,15092.56,28.59,motorbike
r_sus_axs_A______4_car_aggr5.0,15251.03,lane_entry_E,lane_exit_C,15405.35,26.52,car_aggr5
r_sus_axs_A______4_car_aggr3.0,16104.68,lane_entry_E,lane_exit_C,16284.31,24.63,car_aggr3
r_sus_luz_A______5_motorbike.0,19291.5,lane_entry_E,lane_exit_C,19469.96,28.45,motorbike
r_sus_kla_A______5_car_aggr1.0,19365.36,lane_entry_E,lane_exit_C,19525.67,19.8,car_aggr1
r_sus_luz_A______5_car_aggr5.0,19709.0,lane_entry_E,lane_exit_C,19856.55,25.99,car_aggr5
r_sus_kla_A______5_car_aggr3.0,20648.17,lane_entry_E,lane_exit_C,20844.66,24.23,car_aggr3
r_sus_axs_A______5_car_aggr5.0,20951.84,lane_entry_E,lane_exit_C,21150.72,25.17,car_aggr5
r_sus_luz_A______5_car_aggr3.0,21079.35,lane_entry_E,lane_exit_C,21244.9,22.79,car_aggr3
r_sus_luz_A______5_car_aggr2.0,21319.6,lane_entry_E,lane_exit_C,21525.63,22.0,car_aggr2
r_sus_luz_A______5_car_aggr1.0,21326.03,lane_entry_E,lane_exit_C,21533.81,20.53,car_aggr1
r_sus_axs_A______5_car_aggr2.0,21633.46,lane_entry_E,lane_exit_C,21794.53,23.54,car_aggr2
r_sus_kla_A______6_car_aggr1.0,22947.88,lane_entry_E,lane_exit_C,23128.33,22.06,car_aggr1
