vehID,depart,from,to,arrival,arrival_speed,type
r_axs_got_A______0_car_aggr4.0,1622.97,lane_entry_A,lane_exit_E,1743.85,14.11,car_aggr4
r_axs_got_A______0_car_aggr2.0,1715.14,lane_entry_A,lane_exit_E,1839.8,13.11,car_aggr2
r_axs_got_A______0_car_aggr3.0,1726.21,lane_entry_A,lane_exit_E,1844.12,13.34,car_aggr3
r_axs_got_A______0_car_aggr4.2,1850.19,lane_entry_A,lane_exit_E,1967.65,14.38,car_aggr4
r_axs_got_A______0_car_aggr4.1,1882.01,lane_entry_A,lane_exit_E,2015.12,14.23,car_aggr4
r_axs_got_A______0_car_aggr5.0,1885.05,lane_entry_A,lane_exit_E,2018.26,13.24,car_aggr5
r_axs_got_A______0_car_aggr3.1,1894.58,lane_entry_A,lane_exit_E,2023.08,13.38,car_aggr3
r_axs_got_A______0_motorbike.0,1898.07,lane_entry_A,lane_exit_E,2026.61,13.41,motorbike
r_axs_got_A______0_car_aggr3.2,1938.96,lane_entry_A,lane_exit_E,2055.86,14.38,car_aggr3
r_luz_got_A______0_small_truck.0,2038.07,lane_entry_A,lane_exit_E,2161.31,13.82,small_truck
r_axs_got_A______0_car_aggr3.3,2242.83,lane_entry_A,lane_exit_E,2374.84,12.81,car_aggr3
r_luz_got_A______0_motorbike.0,2246.47,lane_entry_A,lane_exit_E,2378.55,11.77,motorbike
r_luz_got_A______0_car_aggr5.0,2249.47,lane_entry_A,lane_exit_E,2381.79,13.41,car_aggr5
r_axs_got_A______0_car_aggr3.4,2254.26,lane_entry_A,lane_exit_E,2386.58,11.92,car_aggr3
r_axs_got_A______0_car_aggr4.3,2257.91,lane_entry_A,lane_exit_E,2390.5,12.18,car_aggr4
r_luz_got_A______0_car_aggr5.1,2261.14,lane_entry_A,lane_exit_E,2393.88,11.57,car_aggr5
r_luz_got_A______0_car_aggr4.0,2270.89,lane_entry_A,lane_exit_E,2397.88,13.31,car_aggr4
r_luz_got_A______0_car_aggr4.1,2274.57,lane_entry_A,lane_exit_E,2401.67,13.05,car_aggr4
r_axs_got_A______0_car_aggr5.1,2277.65,lane_entry_A,lane_exit_E,2404.82,13.39,car_aggr5
