lat,lon,sumo_x,sumo_y,sumo_bbox_polygon,sumo_polygon
46.86642585015586,8.648240252394352,17907.138090196182,40996.700173218735,"[(17898.162111201673, 40986.20008958038), (17898.2460303338, 41004.92442203965), (17918.465775288467, 41004.833834772), (17918.38191942923, 40986.1095022792)]","[(17898.19971292041, 40994.589923936874), (17905.715006015846, 40986.16624366213), (17918.432780343865, 40997.46633770969), (17913.59442103951, 41002.877612453885), (17912.454292741255, 41001.87147411518), (17909.777305910306, 41004.872751950286), (17898.19971292041, 40994.589923936874)]"
46.86106214796031,8.650965805223043,18112.215793091862,40399.739274892025,"[(18103.22369366692, 40388.35019897763), (18103.3042870785, 40406.4744471116), (18121.61287284171, 40406.39306189958), (18121.532334875898, 40388.268813735805)]","[(18103.268906988786, 40398.51800213009), (18110.82307554729, 40388.31641154364), (18121.567641192232, 40396.21414625179), (18114.021136193594, 40406.42680184357), (18103.268906988786, 40398.51800213009)]"
46.85852026314918,8.656508691045635,18533.47188654181,40115.412948746234,"[(18528.084682552842, 40108.76196286827), (18528.141276632203, 40121.696736815386), (18542.18208027305, 40121.63531988673), (18542.12551653711, 40108.700545923784)]","[(18530.405184709933, 40121.68683185801), (18528.09586522309, 40111.317803059705), (18539.861603564466, 40108.71044642851), (18542.170903581195, 40119.07947964966), (18530.405184709933, 40121.68683185801)]"
46.86901202670546,8.652089384916485,18201.772277667536,41282.77842326835,"[(18197.105903828633, 41269.99443618115), (18197.189781517838, 41288.918800178915), (18212.142381946847, 41288.85254496802), (18212.058551552298, 41269.92818094604)]","[(18200.361711672682, 41278.93675156217), (18197.171656430524, 41284.829448428005), (18204.704187235562, 41288.88549905736), (18212.08227804047, 41275.28434263822), (18202.234921113937, 41269.97170527745), (18198.727333193005, 41276.44366281852), (18200.361711672682, 41278.93675156217)]"
46.86351511485868,8.65294916092968,18264.596637412382,40671.65158277936,"[(18260.86579013022, 40666.69910246227), (18260.917813607608, 40678.467089815065), (18272.251546710264, 40678.41699676216), (18272.19954552059, 40666.649009398185)]","[(18260.909855336067, 40676.66688777041), (18262.786507250217, 40666.69061174337), (18272.207500370918, 40668.4492114177), (18270.330833366024, 40678.42548445705), (18260.909855336067, 40676.66688777041)]"
46.86318784226231,8.653269681892974,18288.865781572822,40635.17594744358,"[(18276.38248678512, 40624.89169652201), (18276.459763349092, 40642.38254730869), (18293.342325520236, 40642.30798195116), (18293.265098300355, 40624.81713113841)]","[(18276.410618573253, 40631.25907734316), (18284.698030422092, 40624.85496333148), (18293.31421164883, 40635.940601009876), (18285.026806181413, 40642.34470322542), (18276.410618573253, 40631.25907734316)]"
46.86528650166686,8.653881070745406,18336.493500459066,40868.18092457205,"[(18326.639320380928, 40855.75587642938), (18326.754680370097, 40881.91437591333), (18344.032890419767, 40881.838203140534), (18343.91760596237, 40855.6797036184)]","[(18326.750367839064, 40880.93648806214), (18328.217002389312, 40855.748919012956), (18343.921915653627, 40856.6575914314), (18342.44759368716, 40881.84519000724), (18326.750367839064, 40880.93648806214)]"
46.8607999085243,8.65701932604137,18573.502037752885,40368.56500186119,"[(18565.90428134112, 40358.962653132156), (18565.97133438062, 40374.308812885545), (18581.261596412573, 40374.24202354066), (18581.194582580123, 40358.89586376678)]","[(18565.93307382957, 40365.55227852799), (18572.893915554043, 40358.93211695552), (18581.2328207221, 40367.65239804424), (18574.271980117366, 40374.27255001385), (18565.93307382957, 40365.55227852799)]"
46.86554524426337,8.65408366586576,18352.061242013588,40896.86528803315,"[(18344.84599652799, 40889.935688965954), (18344.90314756846, 40902.90381567646), (18357.044343745918, 40902.85032121651), (18356.987219017814, 40889.882194492966)]","[(18344.900552017556, 40902.314860471524), (18345.478590040933, 40889.93290113844), (18356.989813368942, 40890.47114968486), (18356.404130011157, 40902.853141401894), (18344.900552017556, 40902.314860471524)]"
46.86493250870596,8.649085500738042,17970.816784620867,40830.4663857352,"[(17963.42871009803, 40823.0974634327), (17963.49508239393, 40837.943577277474), (17980.42282637756, 40837.86792252958), (17980.3564960793, 40823.02180866245)]","[(17966.536131401197, 40837.9299824629), (17963.4457005969, 40826.89789074659), (17977.315439523256, 40823.03539642319), (17980.405846601643, 40834.06749514397), (17966.536131401197, 40837.9299824629)]"
