lat,lon,bounding_box,polygon
46.8256384178856,8.647179949115435,"['46.8255719', '46.8256975', '8.6470700', '8.6473189']","POLYGON((8.64707 46.8256193, 8.6472816 46.8255719, 8.6473189 46.8256502, 8.6471074 46.8256975, 8.6470804 46.8256411, 8.64707 46.8256193))"
46.82420468868689,8.642376935239202,"['46.8241440', '46.8242546', '8.6421612', '8.6424469']","POLYGON((8.6421612 46.8241981, 8.6423703 46.8242546, 8.6423743 46.8242477, 8.6423778 46.8242416, 8.6424061 46.8242493, 8.6424469 46.8241787, 8.6423293 46.8241469, 8.6423122 46.8241764, 8.6421925 46.824144, 8.6421612 46.8241981))"
46.82467391408214,8.649058794685565,"['46.8246362', '46.8247328', '8.6489721', '8.6491634']","POLYGON((8.6489721 46.8247092, 8.6491416 46.8247328, 8.6491634 46.8246598, 8.6489938 46.8246362, 8.6489721 46.8247092))"
46.8269520767816,8.649712939953629,"['46.8268988', '46.8269946', '8.6496626', '8.6498021']","POLYGON((8.6497243 46.8268988, 8.6496626 46.8269534, 8.6497404 46.8269946, 8.6498021 46.82694, 8.6497243 46.8268988))"
46.818992022024254,8.652089516678195,"['46.8189266', '46.8190638', '8.6519821', '8.6521936']","POLYGON((8.652125 46.8190638, 8.6519821 46.8190059, 8.6520506 46.8189266, 8.6521936 46.8189846, 8.652125 46.8190638))"
46.827681630769455,8.647933611181346,"['46.8276046', '46.8277271', '8.6478328', '8.6480131']","POLYGON((8.6478328 46.8277003, 8.6479745 46.8277271, 8.6480131 46.8276314, 8.6478714 46.8276046, 8.6478328 46.8277003))"
46.8230127658566,8.647907414356903,"['46.8229655', '46.8230690', '8.6478371', '8.6480237']","POLYGON((8.6478371 46.8230555, 8.6480085 46.823069, 8.6480237 46.8229789, 8.6478522 46.8229655, 8.6478371 46.8230555))"
46.825195617997835,8.651613270580913,"['46.8251291', '46.8252476', '8.6515232', '8.6516718']","POLYGON((8.6515232 46.8252345, 8.6516481 46.8252476, 8.6516718 46.8251422, 8.6515469 46.8251291, 8.6515232 46.8252345))"
46.82343205611221,8.646540644243771,"['46.8233563', '46.8234633', '8.6464803', '8.6466714']","POLYGON((8.6464803 46.8234499, 8.6466562 46.8234633, 8.6466714 46.8233697, 8.6464955 46.8233563, 8.6464803 46.8234499))"
46.823248820930736,8.651949511784734,"['46.8231645', '46.8233010', '8.6518679', '8.6520278']","POLYGON((8.6518679 46.8232821, 8.6519884 46.823301, 8.6520278 46.8231834, 8.6519073 46.8231645, 8.6518679 46.8232821))"
46.82006527767655,8.64418474615794,"['46.8200076', '46.8201431', '8.6441230', '8.6442899']","POLYGON((8.644123 46.8201162, 8.6442329 46.8201431, 8.6442899 46.8200348, 8.6441803 46.8200076, 8.644123 46.8201162))"
46.81770278681463,8.648954554276417,"['46.8176389', '46.8177574', '8.6488929', '8.6490675']","POLYGON((8.6488929 46.8177175, 8.6490106 46.8177574, 8.6490675 46.8176788, 8.6489497 46.8176389, 8.6488929 46.8177175))"
46.817850416369566,8.649455868027541,"['46.8177945', '46.8179471', '8.6493235', '8.6495629']","POLYGON((8.6493235 46.8178833, 8.6494906 46.8179471, 8.6495629 46.8178583, 8.6493959 46.8177945, 8.6493235 46.8178833))"
46.823881484027574,8.647428868537041,"['46.8238393', '46.8239421', '8.6473480', '8.6475196']","POLYGON((8.647348 46.8239251, 8.6474989 46.8239421, 8.6475196 46.8238564, 8.6473686 46.8238393, 8.647348 46.8239251))"
46.82500372160689,8.651045351081327,"['46.8249407', '46.8250469', '8.6509961', '8.6511332']","POLYGON((8.6509961 46.8250388, 8.6511195 46.8250469, 8.6511332 46.8249488, 8.6510098 46.8249407, 8.6509961 46.8250388))"
46.81637144819524,8.654874224529195,"['46.8164179', '46.8167150', '8.6544593', '8.6548518']","POLYGON((8.6546428 46.816715, 8.6548518 46.8165024, 8.6546683 46.8164179, 8.6544593 46.8166306, 8.6546428 46.816715))"
46.823398641788785,8.649698565147865,"['46.8233357', '46.8234748', '8.6496097', '8.6498195']","POLYGON((8.6496097 46.8234547, 8.6496378 46.8233357, 8.6498195 46.8233558, 8.6497914 46.8234748, 8.6496097 46.8234547))"
46.82586573749587,8.648653047483002,"['46.8257881', '46.8259454', '8.6485071', '8.6487976']","POLYGON((8.6485071 46.8258758, 8.6487206 46.8259454, 8.6487525 46.8258996, 8.6487976 46.8258349, 8.6486796 46.8257964, 8.6486637 46.8258193, 8.6485682 46.8257881, 8.6485071 46.8258758))"
46.82246615135492,8.649402364364681,"['46.8223630', '46.8225988', '8.6490884', '8.6496274']","POLYGON((8.6495943 46.8225421, 8.6496274 46.8224356, 8.6495689 46.8224341, 8.6495612 46.8223857, 8.6494353 46.8224091, 8.6493966 46.822363, 8.6492519 46.8224106, 8.6491923 46.8223993, 8.6490884 46.8225467, 8.6492784 46.8225988, 8.6493568 46.8225066, 8.6494099 46.8225255, 8.6495943 46.8225421))"
46.825730721445325,8.645255279922276,"['46.8257235', '46.8258466', '8.6451328', '8.6453170']","POLYGON((8.6451328 46.8257977, 8.6452519 46.8258466, 8.645317 46.8257724, 8.6451979 46.8257235, 8.6451328 46.8257977))"
46.82295257803349,8.647643934794162,"['46.8229110', '46.8230004', '8.6475789', '8.6477591']","POLYGON((8.6475789 46.8229895, 8.6477483 46.8230004, 8.6477591 46.822922, 8.6475898 46.822911, 8.6475789 46.8229895))"
46.81713972609743,8.65453773749694,"['46.8170554', '46.8172364', '8.6543880', '8.6546558']","POLYGON((8.6545009 46.8172364, 8.654388 46.8171477, 8.6545429 46.8170554, 8.6546558 46.8171441, 8.6545009 46.8172364))"
46.82297330072754,8.649086105418984,"['46.8229280', '46.8230364', '8.6489960', '8.6491566']","POLYGON((8.648996 46.8230216, 8.6491353 46.8230364, 8.6491566 46.8229429, 8.6490173 46.822928, 8.648996 46.8230216))"
46.821795509185435,8.644760826349795,"['46.8217174', '46.8218421', '8.6446974', '8.6448424']","POLYGON((8.6446974 46.8218275, 8.6448127 46.8218421, 8.6448424 46.821732, 8.644727 46.8217174, 8.6446974 46.8218275))"
46.82072683549527,8.64372774338001,"['46.8206524', '46.8207954', '8.6436251', '8.6438573']","POLYGON((8.6436251 46.820724, 8.6437917 46.8207954, 8.6438573 46.8207238, 8.6436906 46.8206524, 8.6436251 46.820724))"
46.82155972070209,8.64664281887827,"['46.8215135', '46.8216412', '8.6465657', '8.6467277']","POLYGON((8.6465657 46.8216209, 8.6466903 46.8216412, 8.6467277 46.8215338, 8.646603 46.8215135, 8.6465657 46.8216209))"
