lat,lon,bounding_box,polygon
46.727911157773924,8.621283933931718,"['46.7278403', '46.7279652', '8.6211863', '8.6213822']","POLYGON((8.6211863 46.7279165, 8.6213254 46.7279652, 8.6213822 46.7278889, 8.621243 46.7278403, 8.6212049 46.7278916, 8.6211863 46.7279165))"
46.73480077794753,8.626642770023658,"['46.7347237', '46.7348713', '8.6265541', '8.6267316']","POLYGON((8.6266101 46.7348713, 8.6267316 46.734845, 8.6266756 46.7347237, 8.6265541 46.7347501, 8.6266101 46.7348713))"
46.728657468038726,8.62218996573329,"['46.7285806', '46.7287479', '8.6220759', '8.6223189']","POLYGON((8.6220759 46.7286545, 8.6221888 46.7287479, 8.6223189 46.7286739, 8.6222061 46.7285806, 8.6220759 46.7286545))"
46.728042312384964,8.61991306592548,"['46.7279804', '46.7281054', '8.6198319', '8.6200022']","POLYGON((8.6198319 46.7280201, 8.6199116 46.7281054, 8.6200022 46.7280656, 8.6199224 46.7279804, 8.6198319 46.7280201))"
46.72823642649825,8.623750727643296,"['46.7281914', '46.7282836', '8.6236797', '8.6238161']","POLYGON((8.6237232 46.7282836, 8.6238161 46.7282526, 8.6237726 46.7281914, 8.6236797 46.7282225, 8.6237232 46.7282836))"
46.73340745941045,8.626533579296773,"['46.7333320', '46.7334535', '8.6264042', '8.6265861']","POLYGON((8.6264042 46.7334136, 8.6265318 46.7334535, 8.6265861 46.7333719, 8.6264586 46.733332, 8.6264042 46.7334136))"
46.72666789143501,8.62145292614249,"['46.7266020', '46.7267471', '8.6213311', '8.6215643']","POLYGON((8.6213311 46.7266826, 8.6214632 46.726602, 8.6215073 46.726636, 8.6215246 46.7266254, 8.6215643 46.726656, 8.6214149 46.7267471, 8.6213311 46.7266826))"
46.73831010015491,8.62830343709378,"['46.7381848', '46.7384302', '8.6281270', '8.6284883']","POLYGON((8.6284883 46.7383527, 8.6282339 46.7381848, 8.6281375 46.7382534, 8.6281891 46.7382874, 8.628127 46.7383318, 8.628166 46.7383576, 8.6282156 46.738322, 8.6283795 46.7384302, 8.6284883 46.7383527))"
46.737823163618266,8.62927412258131,"['46.7377743', '46.7378749', '8.6292043', '8.6293506']","POLYGON((8.6292043 46.7378328, 8.6292885 46.7378749, 8.6293506 46.7378164, 8.6292664 46.7377743, 8.6292043 46.7378328))"
46.72952238302908,8.624668662670752,"['46.7294625', '46.7295694', '8.6246131', '8.6247742']","POLYGON((8.6246687 46.7295694, 8.6247742 46.729526, 8.6247186 46.7294625, 8.6246131 46.7295059, 8.6246687 46.7295694))"
46.73728814556036,8.627953760591923,"['46.7372305', '46.7373386', '8.6278780', '8.6280364']","POLYGON((8.627878 46.737292, 8.6279704 46.7373386, 8.6280364 46.7372771, 8.6279441 46.7372305, 8.627878 46.737292))"
46.7295562690726,8.623138621526149,"['46.7294919', '46.7296131', '8.6230441', '8.6232203']","POLYGON((8.6230441 46.7295432, 8.6231204 46.7296131, 8.6232203 46.7295619, 8.623144 46.7294919, 8.6230441 46.7295432))"
46.72739208097412,8.619283923542618,"['46.7272903', '46.7274970', '8.6191582', '8.6194011']","POLYGON((8.6191582 46.7273304, 8.6193026 46.727497, 8.6194011 46.7274569, 8.6192568 46.7272903, 8.6191582 46.7273304))"
46.72875428190108,8.620661326981066,"['46.7287097', '46.7288306', '8.6205643', '8.6207418']","POLYGON((8.6205643 46.728783, 8.6206744 46.7288306, 8.6207418 46.7287572, 8.6206317 46.7287097, 8.6205643 46.728783))"
46.726910063317625,8.621523650184917,"['46.7268494', '46.7269562', '8.6214510', '8.6215967']","POLYGON((8.621451 46.7268771, 8.6214612 46.7268746, 8.6214548 46.7268622, 8.6215071 46.7268494, 8.6215136 46.7268618, 8.6215555 46.7268515, 8.6215967 46.7269307, 8.6214922 46.7269562, 8.621451 46.7268771))"
46.727579475393256,8.619431938911376,"['46.7275156', '46.7276507', '8.6193444', '8.6195279']","POLYGON((8.6193444 46.7275574, 8.6194255 46.7276507, 8.6195279 46.7276089, 8.6194468 46.7275156, 8.6193444 46.7275574))"
46.72818175389461,8.62034786781092,"['46.7281311', '46.7283054', '8.6202526', '8.6204918']","POLYGON((8.6202526 46.7281867, 8.6203565 46.7283054, 8.6204918 46.7282498, 8.6203879 46.7281311, 8.6202526 46.7281867))"
46.72820051542794,8.622009858579016,"['46.7281238', '46.7282653', '8.6218999', '8.6220884']","POLYGON((8.6218999 46.7281662, 8.621994 46.7282653, 8.6220884 46.7282229, 8.6219942 46.7281238, 8.6218999 46.7281662))"
46.72740448625574,8.621560656273646,"['46.7273526', '46.7274397', '8.6215140', '8.6216130']","POLYGON((8.621514 46.7274341, 8.6215249 46.7273526, 8.621613 46.7273582, 8.6216021 46.7274397, 8.621514 46.7274341))"
46.73795754936751,8.62760212018797,"['46.7378819', '46.7380154', '8.6275094', '8.6276919']","POLYGON((8.6275094 46.737942, 8.6276047 46.738007, 8.6276171 46.7380154, 8.6276646 46.7379828, 8.6276521 46.7379743, 8.6276919 46.7379469, 8.6275966 46.7378819, 8.6275094 46.737942))"
