lat,lon,bounding_box,polygon
46.71409864309129,8.60760053638305,"['46.7140818', '46.7142066', '8.6075316', '8.6076821']","POLYGON((8.6075316 46.7141976, 8.6076656 46.7142066, 8.6076821 46.7140908, 8.607548 46.7140818, 8.6075316 46.7141976))"
46.69785073970273,8.596160342226595,"['46.6977938', '46.6979475', '8.5960315', '8.5962214']","POLYGON((8.5961155 46.6979475, 8.5962214 46.6979122, 8.5961374 46.6977938, 8.5960315 46.6978291, 8.5961155 46.6979475))"
46.70619087082382,8.597006172135842,"['46.7061378', '46.7062700', '8.5969134', '8.5970691']","POLYGON((8.5969269 46.70627, 8.5970691 46.7062628, 8.5970555 46.7061378, 8.5969134 46.706145, 8.5969269 46.70627))"
46.71370142387312,8.608612153366769,"['46.7136118', '46.7137592', '8.6084764', '8.6087021']","POLYGON((8.6085513 46.7137592, 8.6087021 46.7136963, 8.6086272 46.7136118, 8.6084764 46.7136747, 8.6085513 46.7137592))"
46.691839676563525,8.593638848034043,"['46.6918009', '46.6918972', '8.5935800', '8.5937302']","POLYGON((8.59358 46.6918822, 8.5937104 46.6918972, 8.5937302 46.6918159, 8.5935999 46.6918009, 8.59358 46.6918822))"
46.70716139442112,8.598884097429236,"['46.7071031', '46.7072323', '8.5987962', '8.5989794']","POLYGON((8.5987962 46.7071523, 8.5988835 46.7072323, 8.5989794 46.7071832, 8.5988921 46.7071031, 8.5987962 46.7071523))"
46.70656279566051,8.597589585967954,"['46.7064975', '46.7066361', '8.5974871', '8.5976836']","POLYGON((8.5975226 46.7066361, 8.5976836 46.7066128, 8.5976481 46.7064975, 8.5974871 46.7065208, 8.5975226 46.7066361))"
46.707100850230624,8.60041293763673,"['46.7070526', '46.7071655', '8.6003277', '8.6004916']","POLYGON((8.6003277 46.7071007, 8.6004004 46.7071655, 8.6004916 46.7071174, 8.6004189 46.7070526, 8.6003277 46.7071007))"
46.70695992385429,8.599232875247962,"['46.7069076', '46.7070309', '8.5991410', '8.5993234']","POLYGON((8.599213 46.7070309, 8.5993234 46.7069768, 8.5992514 46.7069076, 8.599141 46.7069617, 8.599213 46.7070309))"
46.69247376891092,8.59498601991328,"['46.6924254', '46.6925320', '8.5949164', '8.5950611']","POLYGON((8.5950611 46.6924365, 8.5950495 46.6924979, 8.5949928 46.6924929, 8.5949854 46.692532, 8.5949164 46.6925258, 8.5949354 46.6924254, 8.5950611 46.6924365))"
46.70639614352697,8.599822338924533,"['46.7063463', '46.7064658', '8.5997253', '8.5999346']","POLYGON((8.5997709 46.7064658, 8.5999346 46.7064272, 8.5998943 46.7063463, 8.5997253 46.7063868, 8.5997709 46.7064658))"
46.70522124262617,8.59858083950748,"['46.7051358', '46.7053112', '8.5984393', '8.5987373']","POLYGON((8.5986613 46.7051358, 8.5985044 46.7051796, 8.5985236 46.7052119, 8.5984393 46.7052355, 8.5984843 46.7053112, 8.5985686 46.7052876, 8.5985805 46.7053075, 8.5987373 46.7052637, 8.5986613 46.7051358))"
46.70608817123139,8.598259444916332,"['46.7060223', '46.7061466', '8.5981760', '8.5983496']","POLYGON((8.5982162 46.7061466, 8.5983496 46.7061211, 8.5983094 46.7060223, 8.598176 46.7060479, 8.5982162 46.7061466))"
46.70487492987042,8.599018035494568,"['46.7048001', '46.7049624', '8.5989369', '8.5990940']","POLYGON((8.5989369 46.704947, 8.5990524 46.7049624, 8.599094 46.7048155, 8.5989785 46.7048001, 8.5989369 46.704947))"
