vehID,depart,from,to,arrival,arrival_speed,type
r_luz_oba_A______2_car_aggr3.0,9560.43,lane_entry_A,lane_exit_E,9675.73,14.1,car_aggr3
r_luz_oba_A______2_car_aggr3.1,10504.0,lane_entry_A,lane_exit_E,10621.27,14.77,car_aggr3
r_luz_oba_A______2_car_aggr4.0,10934.66,lane_entry_A,lane_exit_E,11048.46,14.36,car_aggr4
r_luz_oba_A______2_car_aggr3.2,12198.72,lane_entry_A,lane_exit_E,12319.0,13.84,car_aggr3
r_luz_oba_A______3_car_aggr3.0,13668.25,lane_entry_A,lane_exit_E,13789.56,13.59,car_aggr3
r_luz_oba_A______3_car_aggr3.1,13945.27,lane_entry_A,lane_exit_E,14074.48,13.58,car_aggr3
r_luz_oba_A______3_car_aggr3.3,13949.38,lane_entry_A,lane_exit_E,14078.84,13.05,car_aggr3
r_luz_oba_A______3_car_aggr3.2,14225.68,lane_entry_A,lane_exit_E,14363.1,11.74,car_aggr3
r_luz_oba_A______3_car_aggr3.4,14888.34,lane_entry_A,lane_exit_E,15010.84,13.53,car_aggr3
r_luz_oba_A______3_car_aggr1.0,15215.93,lane_entry_A,lane_exit_E,15358.28,11.72,car_aggr1
r_luz_oba_A______3_small_truck.0,16307.15,lane_entry_A,lane_exit_E,16422.9,14.89,small_truck
r_luz_oba_A______4_car_aggr3.0,16674.36,lane_entry_A,lane_exit_E,16785.7,15.61,car_aggr3
r_luz_oba_A______4_car_aggr3.1,18002.03,lane_entry_A,lane_exit_E,18122.61,14.22,car_aggr3
r_luz_oba_A______5_car_aggr2.0,20378.82,lane_entry_A,lane_exit_E,20494.04,14.59,car_aggr2
r_luz_oba_A______5_car_aggr3.0,21174.68,lane_entry_A,lane_exit_E,21305.64,12.96,car_aggr3
r_luz_oba_A______5_small_truck.0,21861.05,lane_entry_A,lane_exit_E,21981.31,13.65,small_truck
r_luz_oba_A______5_car_aggr2.1,22343.01,lane_entry_A,lane_exit_E,22473.92,12.81,car_aggr2
r_luz_oba_A______5_big_truck.0,23140.06,lane_entry_A,lane_exit_E,23285.04,11.89,big_truck
r_luz_oba_A______5_car_aggr4.0,23191.57,lane_entry_A,lane_exit_E,23289.17,12.15,car_aggr4
r_luz_oba_A______5_car_aggr1.0,23474.88,lane_entry_A,lane_exit_E,23586.83,15.78,car_aggr1
r_luz_oba_A______6_car_aggr2.0,23698.88,lane_entry_A,lane_exit_E,23813.04,14.54,car_aggr2
r_luz_oba_A______6_car_aggr2.1,23794.21,lane_entry_A,lane_exit_E,23903.14,15.8,car_aggr2
r_luz_oba_A______6_car_aggr4.0,23854.8,lane_entry_A,lane_exit_E,23980.08,13.35,car_aggr4
r_luz_oba_A______6_car_aggr4.1,24511.48,lane_entry_A,lane_exit_E,24626.1,14.37,car_aggr4
r_luz_oba_A______6_car_aggr2.2,24636.76,lane_entry_A,lane_exit_E,24799.79,10.14,car_aggr2
r_luz_oba_A______6_car_aggr3.0,24641.0,lane_entry_A,lane_exit_E,24804.28,10.54,car_aggr3
r_luz_oba_A______6_car_aggr5.0,24677.45,lane_entry_A,lane_exit_E,24807.7,10.64,car_aggr5
r_luz_oba_A______6_big_truck.0,24741.72,lane_entry_A,lane_exit_E,24877.69,12.58,big_truck
r_luz_oba_A______6_car_aggr2.3,24755.33,lane_entry_A,lane_exit_E,24883.12,12.02,car_aggr2
r_luz_oba_A______6_car_aggr3.1,24827.74,lane_entry_A,lane_exit_E,24971.87,11.34,car_aggr3
r_luz_oba_A______6_car_aggr5.1,24920.1,lane_entry_A,lane_exit_E,25015.13,17.8,car_aggr5
r_luz_oba_A______6_car_aggr2.4,25005.13,lane_entry_A,lane_exit_E,25134.33,12.85,car_aggr2
r_luz_oba_A______6_car_aggr3.2,25062.28,lane_entry_A,lane_exit_E,25168.86,15.73,car_aggr3
r_luz_oba_A______6_small_truck.0,25220.94,lane_entry_A,lane_exit_E,25341.61,14.46,small_truck
r_luz_oba_A______6_car_aggr4.2,25238.53,lane_entry_A,lane_exit_E,25372.02,12.95,car_aggr4
r_luz_oba_A______6_car_aggr2.5,25326.95,lane_entry_A,lane_exit_E,25453.48,13.88,car_aggr2
r_luz_oba_A______6_car_aggr3.3,25725.14,lane_entry_A,lane_exit_E,25868.5,12.6,car_aggr3
r_luz_oba_A______6_car_aggr3.4,25799.69,lane_entry_A,lane_exit_E,25943.14,12.03,car_aggr3
r_luz_oba_A______6_car_aggr3.5,25919.25,lane_entry_A,lane_exit_E,26042.71,15.01,car_aggr3
r_luz_oba_A______6_car_aggr5.2,26050.61,lane_entry_A,lane_exit_E,26157.13,16.35,car_aggr5
r_luz_oba_A______6_car_aggr4.3,26083.49,lane_entry_A,lane_exit_E,26194.73,15.88,car_aggr4
r_luz_oba_A______6_car_aggr2.6,26114.15,lane_entry_A,lane_exit_E,26234.72,14.37,car_aggr2
r_luz_oba_A______6_car_aggr4.4,26119.61,lane_entry_A,lane_exit_E,26238.47,13.8,car_aggr4
r_luz_oba_A______6_small_truck.1,26233.57,lane_entry_A,lane_exit_E,26352.77,13.77,small_truck
r_luz_oba_A______6_car_aggr3.6,26314.98,lane_entry_A,lane_exit_E,26413.42,17.2,car_aggr3
r_luz_oba_A______6_car_aggr2.7,26335.72,lane_entry_A,lane_exit_E,26446.08,15.49,car_aggr2
r_luz_oba_A______6_car_aggr2.8,26518.31,lane_entry_A,lane_exit_E,26664.99,11.11,car_aggr2
r_luz_oba_A______6_car_aggr4.5,26691.67,lane_entry_A,lane_exit_E,26809.93,14.72,car_aggr4
r_luz_oba_A______6_car_aggr3.7,26904.68,lane_entry_A,lane_exit_E,27004.08,16.7,car_aggr3
r_luz_oba_A______6_car_aggr2.9,27163.47,lane_entry_A,lane_exit_E,27278.12,15.42,car_aggr2
r_luz_oba_A______6_car_aggr3.8,27188.51,lane_entry_A,lane_exit_E,27313.19,13.15,car_aggr3
r_luz_oba_A______6_car_aggr4.6,27192.22,lane_entry_A,lane_exit_E,27317.09,13.66,car_aggr4
r_luz_oba_A______6_motorbike.0,27267.18,lane_entry_A,lane_exit_E,27393.66,12.74,motorbike
r_luz_oba_A______6_car_aggr2.10,27432.82,lane_entry_A,lane_exit_E,27553.73,14.12,car_aggr2
r_luz_oba_A______6_car_aggr2.11,27663.92,lane_entry_A,lane_exit_E,27794.33,12.77,car_aggr2
r_luz_oba_A______6_big_truck.1,28421.78,lane_entry_A,lane_exit_E,28570.75,11.36,big_truck
r_luz_oba_A______7_car_aggr1.0,28428.18,lane_entry_A,lane_exit_E,28576.8,11.47,car_aggr1
r_luz_oba_A______7_car_aggr2.0,28433.49,lane_entry_A,lane_exit_E,28582.32,11.33,car_aggr2
r_luz_oba_A______7_car_aggr3.0,28622.15,lane_entry_A,lane_exit_E,28741.86,14.77,car_aggr3
r_luz_oba_A______7_car_aggr4.1,28710.76,lane_entry_A,lane_exit_E,28831.61,15.4,car_aggr4
r_luz_oba_A______7_car_aggr4.0,28741.53,lane_entry_A,lane_exit_E,28845.23,15.82,car_aggr4
r_luz_oba_A______7_car_aggr3.1,28855.22,lane_entry_A,lane_exit_E,29002.36,11.46,car_aggr3
r_luz_oba_A______7_big_truck.0,28860.19,lane_entry_A,lane_exit_E,29007.94,11.29,big_truck
r_luz_oba_A______7_car_aggr5.0,29017.32,lane_entry_A,lane_exit_E,29125.39,15.53,car_aggr5
r_luz_oba_A______7_car_aggr4.2,29051.07,lane_entry_A,lane_exit_E,29169.26,8.74,car_aggr4
r_luz_oba_A______7_car_aggr4.3,29137.67,lane_entry_A,lane_exit_E,29262.87,13.01,car_aggr4
r_luz_oba_A______7_car_aggr2.1,29188.05,lane_entry_A,lane_exit_E,29347.14,10.13,car_aggr2
r_luz_oba_A______7_car_aggr3.3,29347.27,lane_entry_A,lane_exit_E,29476.57,13.21,car_aggr3
r_luz_oba_A______7_car_aggr3.4,29391.57,lane_entry_A,lane_exit_E,29507.63,15.01,car_aggr3
r_luz_oba_A______7_car_aggr3.2,29501.53,lane_entry_A,lane_exit_E,29665.15,9.97,car_aggr3
r_luz_oba_A______7_car_aggr2.2,29533.57,lane_entry_A,lane_exit_E,29671.08,10.27,car_aggr2
r_luz_oba_A______7_car_aggr5.1,29586.0,lane_entry_A,lane_exit_E,29698.58,14.86,car_aggr5
r_luz_oba_A______7_car_aggr5.2,29589.19,lane_entry_A,lane_exit_E,29701.74,15.59,car_aggr5
r_luz_oba_A______7_big_truck.1,29733.08,lane_entry_A,lane_exit_E,29881.6,11.17,big_truck
r_luz_oba_A______7_small_truck.0,29760.03,lane_entry_A,lane_exit_E,29886.77,9.72,small_truck
r_luz_oba_A______7_car_aggr3.7,29849.88,lane_entry_A,lane_exit_E,29967.75,14.51,car_aggr3
r_luz_oba_A______7_car_aggr3.5,29860.79,lane_entry_A,lane_exit_E,29985.79,13.3,car_aggr3
r_luz_oba_A______7_motorbike.0,29868.67,lane_entry_A,lane_exit_E,29993.41,13.98,motorbike
r_luz_oba_A______7_big_truck.2,29892.8,lane_entry_A,lane_exit_E,30037.96,11.99,big_truck
r_luz_oba_A______7_car_aggr3.6,29897.49,lane_entry_A,lane_exit_E,30042.51,9.84,car_aggr3
r_luz_oba_A______7_car_aggr5.3,29901.27,lane_entry_A,lane_exit_E,30046.67,8.59,car_aggr5
r_luz_oba_A______7_car_aggr1.1,29999.04,lane_entry_A,lane_exit_E,30124.12,13.96,car_aggr1
r_luz_oba_A______7_small_truck.1,30002.52,lane_entry_A,lane_exit_E,30127.8,13.75,small_truck
r_luz_oba_A______7_car_aggr3.9,30120.26,lane_entry_A,lane_exit_E,30236.31,15.16,car_aggr3
r_luz_oba_A______7_car_aggr3.8,30225.55,lane_entry_A,lane_exit_E,30367.06,12.97,car_aggr3
r_luz_oba_A______7_car_aggr4.4,30239.85,lane_entry_A,lane_exit_E,30370.92,13.3,car_aggr4
r_luz_oba_A______7_car_aggr1.2,30563.66,lane_entry_A,lane_exit_E,30698.99,12.18,car_aggr1
r_luz_oba_A______7_car_aggr3.10,30614.12,lane_entry_A,lane_exit_E,30759.52,12.17,car_aggr3
r_luz_oba_A______7_car_aggr3.11,30673.58,lane_entry_A,lane_exit_E,30797.62,13.33,car_aggr3
r_luz_oba_A______7_car_aggr5.4,30799.72,lane_entry_A,lane_exit_E,30909.57,15.98,car_aggr5
r_luz_oba_A______7_car_aggr3.12,30851.12,lane_entry_A,lane_exit_E,30954.86,16.6,car_aggr3
r_luz_oba_A______7_car_aggr3.13,30906.45,lane_entry_A,lane_exit_E,30999.08,18.61,car_aggr3
r_luz_oba_A______7_car_aggr4.5,30954.11,lane_entry_A,lane_exit_E,31053.18,16.72,car_aggr4
r_luz_oba_A______7_car_aggr4.6,31061.12,lane_entry_A,lane_exit_E,31194.57,12.79,car_aggr4
r_luz_oba_A______7_car_aggr5.5,31064.37,lane_entry_A,lane_exit_E,31197.87,12.91,car_aggr5
r_luz_oba_A______7_car_aggr2.3,31086.04,lane_entry_A,lane_exit_E,31219.46,12.72,car_aggr2
r_luz_oba_A______7_car_aggr3.14,31120.25,lane_entry_A,lane_exit_E,31245.73,12.89,car_aggr3
r_luz_oba_A______7_car_aggr3.15,31313.12,lane_entry_A,lane_exit_E,31445.55,12.88,car_aggr3
r_luz_oba_A______7_car_aggr3.16,31441.51,lane_entry_A,lane_exit_E,31538.74,17.37,car_aggr3
r_luz_oba_A______7_car_aggr5.6,31452.5,lane_entry_A,lane_exit_E,31557.42,15.77,car_aggr5
r_luz_oba_A______7_car_aggr1.3,31714.81,lane_entry_A,lane_exit_E,31849.51,12.91,car_aggr1
r_luz_oba_A______7_car_aggr3.17,31841.39,lane_entry_A,lane_exit_E,31963.24,13.73,car_aggr3
r_luz_oba_A______7_car_aggr4.7,32048.53,lane_entry_A,lane_exit_E,32164.32,14.05,car_aggr4
r_luz_oba_A______7_car_aggr1.4,32082.3,lane_entry_A,lane_exit_E,32199.95,14.42,car_aggr1
r_luz_oba_A______7_car_aggr3.19,32395.75,lane_entry_A,lane_exit_E,32508.87,15.22,car_aggr3
r_luz_oba_A______7_car_aggr2.4,32560.41,lane_entry_A,lane_exit_E,32686.4,13.61,car_aggr2
r_luz_oba_A______7_car_aggr3.18,32852.95,lane_entry_A,lane_exit_E,33036.31,6.46,car_aggr3
r_luz_oba_A______22_car_aggr3.0,103079.99,lane_entry_A,lane_exit_E,103202.72,14.06,car_aggr3
